pdf,8210,964.6121761798859,2386.821224489796
pdf,9848,1525.0093851089478,3732.399455782313
pdf,10360,1372.4639148712158,3462.077
pdf,11868,1462.572791337967,3585.116
pdf,12632,1614.1770415306091,4208.53
pdf,6595,875.7676749229431,2163.71
pdf,8731,1112.1209716796875,2919.309
pdf,11463,1444.6792237758636,3875.413
pdf,12852,1658.18341588974,4145.542
pdf,9185,1124.3368690013885,2914.081
pdf,7873,992.393346786499,2656.56
pdf,10535,1409.995346069336,3221.418
pdf,16956,2066.5730640888214,5229.521
pdf,8622,952.9339220523834,2340.457
pdf,24616,3257.686506986618,8412.262
pdf,7052,848.8813900947571,2168.591
pdf,11126,1532.0924825668335,4114.223
pdf,8513,1068.119775056839,2780.997
pdf,9882,1473.23526597023,3194.342
pdf,17628,2399.6250565052032,6168.681
pdf,21383,2784.2282750606537,6379.594
pdf,29766,5252.004072904587,11061.276
